Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22
-0.03305304,-0.023436606,-0.048626125,-0.03165233,-0.038127422,-0.035499036,-0.047020376,-0.03839028,-0.03882724,-0.024863183,-0.034478843,-0.037350237,-0.023513615,0.004759848,-0.010931969,-0.018866062,-0.03965372,-0.008630097,-0.01164943,-0.029379189,-0.028763592,0.022831142,-0.004091382,-0.025235832
-0.07501978,-0.059936285,-0.3654236,-0.32350773,-0.28201205,-0.29720718,-0.2692122,-0.2756195,-0.24245924,-0.23259085,-0.20674986,-0.22702765,-0.17317021,-0.1933381,-0.15712512,-0.17708361,-0.17274588,-0.198978,-0.15846759,-0.11873078,-0.1644029,-0.113506675,,
-0.07194877,-0.06844479,-0.3270993,-0.23254013,-0.23001665,-0.2412914,-0.20929635,-0.21881014,-0.178442,-0.20264947,-0.18493104,-0.17147684,-0.15509373,-0.16972375,-0.13213003,-0.1474815,-0.14432764,-0.16349214,-0.14083856,-0.10547966,-0.13911045,-0.1234082,,
-0.002191782,-0.007975042,-0.21883696,-0.14932549,-0.14169192,-0.16553336,-0.09369266,-0.12390131,-0.11335385,-0.114524305,-0.074222445,-0.09174049,-0.090924025,-0.08319539,-0.058418572,-0.09074497,-0.053191483,-0.08542621,-0.10633165,-0.050647557,-0.09496045,-0.066556096,,
0.024188757,-0.0071126223,-0.12303078,-0.13260454,-0.0995056,-0.13131762,-0.10492545,-0.09491563,-0.10023904,-0.08157784,-0.05802411,-0.074760735,-0.05484861,-0.04446131,-0.04909712,-0.049209595,-0.042183995,-0.03952104,-0.06659895,-0.019151032,-0.061599076,-0.063055575,,
0.0052879453,-0.019037127,-0.10807121,-0.06457317,-0.05591464,-0.08691132,-0.05425912,-0.056743324,-0.054029167,-0.061306775,-0.033925593,-0.047144234,-0.02733165,-0.015090644,0.010112166,-0.023607373,-0.014444888,-0.032825947,-0.03288573,-0.0045957565,-0.04176861,-0.030819654,,
-0.010090947,-0.01884836,-0.08603114,-0.05813557,-0.07831395,-0.084919214,-0.06555122,-0.053874016,-0.05825752,-0.050745964,-0.051033616,-0.055440485,-0.03570938,-0.02831453,-0.03485495,-0.024541318,-0.03403592,-0.037270844,-0.040924966,0.008036315,-0.04051739,-0.021219015,,
-0.027636707,-0.017302036,-0.017786384,-0.0066191554,-0.002204895,-0.0153464675,-0.0309605,-0.025145113,-0.021936595,-0.023360372,-0.03250873,-0.023953974,-0.017534971,-0.008267999,-0.0035142899,-0.012405038,-0.021088302,-0.0064003468,-0.007861435,-0.011880338,-0.01631397,0.022670567,-0.005831659,-0.008944869
-0.042069733,-0.03115201,-0.070084155,-0.03325498,-0.047507882,-0.047601223,-0.07381916,-0.05307567,-0.060913146,-0.05093658,-0.05984956,-0.050777197,-0.04847133,-0.028432667,-0.01843214,-0.041514814,-0.042241395,-0.03242433,-0.019743443,-0.032139003,-0.041427255,0.013435662,-0.023064196,-0.028200686
-0.013677716,0.0009773374,-0.08321801,-0.044899344,-0.061427176,-0.051398516,-0.063595235,-0.035989046,-0.04953009,-0.0515514,-0.04182625,-0.029459238,-0.034941256,-0.015468359,0.0013836622,-0.025123537,-0.03268385,-0.014388025,-0.003908217,0.0017691851,-0.026796341,0.00093925,-0.008249164,-0.009295106
-0.096179664,-0.07629305,-0.4705088,-0.405323,-0.33461517,-0.35191032,-0.33396626,-0.3245777,-0.3091302,-0.29446572,-0.27799135,-0.2767133,-0.25416392,-0.22650075,-0.23210186,-0.22423172,-0.24186444,-0.22130436,-0.19332415,-0.1707946,-0.1969986,-0.15180618,,
-0.06826383,-0.063556194,-0.40399745,-0.3481776,-0.2888608,-0.32041556,-0.28513438,-0.2788012,-0.25945032,-0.2550158,-0.23018014,-0.23179132,-0.18516248,-0.18366599,-0.16473806,-0.17400104,-0.1962604,-0.19250655,-0.14759475,-0.125453,-0.1677013,-0.13319868,,
-0.03955418,-0.0336138,-0.2607212,-0.20395386,-0.17976552,-0.20312756,-0.17261577,-0.16820145,-0.14995503,-0.16163802,-0.14713359,-0.13438207,-0.11988032,-0.13292956,-0.09472567,-0.10753572,-0.11722559,-0.12803239,-0.09749466,-0.06559998,-0.09878081,-0.11726439,,
-0.002622068,0.0016794801,-0.113343775,-0.090448976,-0.06735855,-0.08537066,-0.038109243,-0.055906415,-0.05044824,-0.04189384,-0.0333274,-0.049660027,-0.044277072,-0.052240014,-0.034937143,-0.045348108,-0.03564483,-0.052165985,-0.05939305,-0.028521061,-0.0502764,-0.056735873,,
-0.059199214,-0.04765743,-0.17389107,-0.14021891,-0.13722253,-0.13290572,-0.13446748,-0.13335651,-0.14207923,-0.12738824,-0.12168288,-0.12089181,-0.12275553,-0.11001819,-0.103643656,-0.1187526,-0.07424885,-0.09937304,-0.08542544,-0.09363145,-0.099259675,-0.04831195,-0.09282863,-0.065915346
-0.06866872,-0.039159417,-0.37481618,-0.33255446,-0.27928418,-0.26675826,-0.28209746,-0.28664005,-0.23189795,-0.26023287,-0.19029737,-0.22596866,-0.18059921,-0.16261452,-0.18184465,-0.1704374,-0.15598917,-0.12834519,-0.13863778,-0.090993464,-0.11298108,-0.12695003,,
-0.06798458,-0.044980288,-0.36583695,-0.31279236,-0.27360052,-0.25616646,-0.26202083,-0.27222037,-0.2356413,-0.25535917,-0.20050341,-0.21698701,-0.1959396,-0.16966498,-0.18224311,-0.17250031,-0.17124486,-0.13504714,-0.13177818,-0.10673845,-0.1173619,-0.13021111,,
-0.063824475,-0.053873956,-0.36982965,-0.3057415,-0.262029,-0.27332395,-0.2571162,-0.2568336,-0.25229973,-0.23529732,-0.2157836,-0.20289111,-0.1951055,-0.17056227,-0.17488784,-0.17174995,-0.18976086,-0.14776415,-0.13414687,-0.11101246,-0.13186026,-0.13077211,,
-0.037804246,-0.037058473,-0.29266924,-0.24539733,-0.2063697,-0.2307846,-0.20041949,-0.19887316,-0.19316524,-0.18479562,-0.16211158,-0.15607762,-0.12691927,-0.11744064,-0.10778731,-0.11699879,-0.14182699,-0.116972566,-0.08803284,-0.07015604,-0.10590124,-0.10009992,,
-0.014927268,-0.0011522174,-0.11735791,-0.09717876,-0.08786553,-0.09591699,-0.07990289,-0.0759663,-0.07109773,-0.08402598,-0.07275367,-0.059580326,-0.05915314,-0.05175382,-0.046583354,-0.04420072,-0.05357623,-0.05281067,-0.034613967,-0.018304229,-0.042421818,-0.062077343,,
