Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,-1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920929e-07,1.0430813e-07,
1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,0.0,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,0.040750057,0.037187546,
0.0,0.0,0.0,0.0,1.4901161e-08,-2.9802322e-08,0.0,0.0,-1.4901161e-08,1.4901161e-08,1.4901161e-08,-2.9802322e-08,4.4703484e-08,-1.4901161e-08,-2.9802322e-08,0.0,2.9802322e-08,-2.9802322e-08,0.0,0.0,0.050153702,0.04576911,
0.0032399148,0.004793197,0.006866455,0.007266447,0.006926447,0.0075330883,0.006933123,0.007013142,0.006293148,0.0061531365,0.006593153,0.0065864623,0.0067997873,0.005706519,0.0052331984,0.0058998317,0.006006509,0.005739838,0.005493164,0.0054731667,7.450581e-09,-7.450581e-09,0.0054131746
-0.043739945,-0.06470992,-0.092699885,-0.09809987,-0.0935099,-0.101699874,-0.093599886,-0.09467988,-0.08495991,-0.083069906,-0.08900988,-0.08891988,-0.09179989,-0.0770399,-0.07064992,-0.07964991,-0.081089884,-0.0774899,-0.07415991,-0.07388989,7.450581e-09,0.0,-0.07307989
-0.0388799,-0.057519853,-0.08239977,-0.08719976,-0.08311978,-0.09039976,-0.08319977,-0.08415978,-0.075519785,-0.07383979,-0.07911977,-0.07903978,-0.08159978,-0.068479806,-0.062799826,-0.07079981,-0.07207981,-0.06887981,-0.06591981,-0.06567981,0.0,0.0,-0.06495982
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.057599843,-0.078399785,-0.11059971,-0.10819971,-0.100799724,-0.102999724,-0.09999973,-0.10039973,-0.09909973,-0.091599755,-0.094099745,-0.09269975,-0.09759974,-0.08899977,-0.08159977,-0.078599796,-0.0744998,-0.07899978,-0.074299805,-0.068299815,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,-1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,0.0,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,5.9604645e-08,5.9604645e-08,
0.0,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-2.9802322e-08,4.4703484e-08,0.0,-1.4901161e-08,0.0,2.9802322e-08,-2.9802322e-08,0.0,0.0,0.027166694,0.024791718,
-0.043739945,-0.06470992,-0.092699885,-0.09809989,-0.0935099,-0.101699874,-0.093599886,-0.09467989,-0.084959894,-0.083069876,-0.08900988,-0.08891989,-0.09179989,-0.0770399,-0.07064994,-0.07964991,-0.0810899,-0.0774899,-0.07415991,-0.0738899,7.450581e-09,0.0,-0.07307989
-0.0388799,-0.05751984,-0.082399786,-0.08719976,-0.08311978,-0.09039976,-0.08319977,-0.08415976,-0.075519785,-0.07383979,-0.07911977,-0.07903978,-0.08159978,-0.068479806,-0.062799826,-0.07079981,-0.07207981,-0.06887981,-0.065919824,-0.06567981,0.0,0.0,-0.06495982
-0.057600006,-0.07839999,-0.1106,-0.1082,-0.10079999,-0.103,-0.1,-0.1004,-0.0991,-0.0916,-0.09409999,-0.0927,-0.09759999,-0.089,-0.081599995,-0.0786,-0.074499995,-0.07899999,-0.0743,-0.068299994,0.0,0.0,
-0.057599843,-0.078399785,-0.11059971,-0.10819971,-0.100799724,-0.102999724,-0.09999973,-0.10039975,-0.09909973,-0.09159977,-0.094099745,-0.09269975,-0.09759974,-0.08899977,-0.08159977,-0.078599796,-0.0744998,-0.07899978,-0.074299805,-0.068299815,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4901161e-08,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,1.4901161e-08,
1.4901161e-08,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,-1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,1.4901161e-08,
0.0,0.0,0.0,0.0,1.4901161e-08,-2.9802322e-08,0.0,0.0,-1.4901161e-08,1.4901161e-08,1.4901161e-08,-2.9802322e-08,4.4703484e-08,-1.4901161e-08,-2.9802322e-08,0.0,2.9802322e-08,-2.9802322e-08,0.0,0.0,4.4703484e-08,5.9604645e-08,
-0.042524964,-0.062912434,-0.090124905,-0.0953749,-0.0909124,-0.09887488,-0.0909999,-0.0920499,-0.08259989,-0.0807624,-0.08653739,-0.08644989,-0.0892499,-0.07489991,-0.06868744,-0.0774374,-0.07883741,-0.07533741,-0.0720999,-0.07183742,0.0,0.0,-0.07104991
-0.03644991,-0.053924844,-0.077249795,-0.08174978,-0.07792479,-0.08474977,-0.077999786,-0.07889977,-0.07079981,-0.069224805,-0.07417479,-0.074099794,-0.0764998,-0.064199835,-0.058874846,-0.06637482,-0.067574814,-0.06457481,-0.06179983,-0.061574824,0.0,0.0,-0.06089983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.6391277e-07,-2.0861626e-07,-2.9429793e-07,-2.8684735e-07,-2.682209e-07,-2.7567148e-07,-2.682209e-07,-2.682209e-07,-2.682209e-07,-2.4586916e-07,-2.4586916e-07,-2.4586916e-07,-2.5331974e-07,-2.30968e-07,-2.2351742e-07,-2.0116568e-07,-1.937151e-07,-2.0861626e-07,-1.937151e-07,-1.7881393e-07,0.0,0.0,
-0.038400054,-0.052266724,-0.073733434,-0.07213342,-0.06720008,-0.068666756,-0.06666676,-0.06693342,-0.066066764,-0.061066747,-0.06273342,-0.061800085,-0.06506675,-0.0593334,-0.05440007,-0.052400075,-0.049666733,-0.052666716,-0.049533404,-0.045533404,0.0,0.0,
-0.047999874,-0.065333165,-0.092166424,-0.09016641,-0.08399977,-0.085833095,-0.08333311,-0.08366643,-0.08258311,-0.07633313,-0.07841645,-0.077249795,-0.08133311,-0.074166484,-0.067999795,-0.06549983,-0.06208317,-0.06583316,-0.061916508,-0.05691652,0.0,0.0,
0.006399989,0.008711085,0.012288868,0.012022197,0.011199966,0.011444405,0.011111081,0.011155546,0.011011079,0.010177761,0.010455519,0.010299951,0.010844424,0.0098888725,0.009066626,0.008733317,0.008277759,0.0087777525,0.008255541,0.0075888783,-1.4901161e-08,1.4901161e-08,
-0.03644991,-0.053924844,-0.077249795,-0.08174978,-0.07792479,-0.08474977,-0.077999786,-0.07889977,-0.07079981,-0.069224805,-0.07417479,-0.074099794,-0.0764998,-0.064199835,-0.058874846,-0.06637482,-0.067574814,-0.06457481,-0.06179983,-0.061574824,0.0,0.0,-0.06089983
-4.4703484e-08,-5.2154064e-08,-9.685755e-08,-9.313226e-08,-8.940697e-08,-8.195639e-08,-8.195639e-08,-8.195639e-08,-8.195639e-08,-6.7055225e-08,-7.4505806e-08,-6.7055225e-08,-7.4505806e-08,-5.9604645e-08,-5.9604645e-08,-5.9604645e-08,-5.9604645e-08,-4.4703484e-08,-5.2154064e-08,-4.4703484e-08,-1.4901161e-08,-1.4901161e-08,
-4.4703484e-08,-5.2154064e-08,-9.685755e-08,-9.313226e-08,-8.940697e-08,-8.195639e-08,-8.195639e-08,-8.195639e-08,-8.195639e-08,-6.7055225e-08,-7.4505806e-08,-6.7055225e-08,-7.4505806e-08,-5.9604645e-08,-5.9604645e-08,-5.9604645e-08,-5.9604645e-08,-4.4703484e-08,-5.2154064e-08,-4.4703484e-08,-1.4901161e-08,-1.4901161e-08,
-1.0430813e-07,-1.4156103e-07,-2.1979213e-07,-2.1234155e-07,-2.0116568e-07,-1.937151e-07,-1.937151e-07,-2.0116568e-07,-1.937151e-07,-1.7881393e-07,-1.7136335e-07,-1.7136335e-07,-1.8626451e-07,-1.6391277e-07,-1.5646219e-07,-1.4156103e-07,-1.4156103e-07,-1.4156103e-07,-1.4156103e-07,-1.3411045e-07,-1.4901161e-08,-1.4901161e-08,
-0.024685785,-0.033600084,-0.047400124,-0.046371553,-0.043200113,-0.044142984,-0.042857267,-0.04302869,-0.04247155,-0.03925725,-0.040328674,-0.039728664,-0.04182867,-0.03814295,-0.034971505,-0.03368581,-0.03192866,-0.03385722,-0.031842925,-0.029271513,-2.9802322e-08,0.0,
-0.036654428,-0.049890764,-0.07038163,-0.06885433,-0.06414525,-0.06554527,-0.06363616,-0.063890725,-0.06306345,-0.058290727,-0.059881642,-0.05899073,-0.06210891,-0.056636207,-0.05192712,-0.050018042,-0.04740897,-0.050272577,-0.047281675,-0.0434635,-1.4901161e-08,-2.9802322e-08,
0.0040500313,0.0059916973,0.008583382,0.009083375,0.008658394,0.009416729,0.008666709,0.008766726,0.0078666955,0.007691711,0.008241728,0.008233383,0.00850004,0.0071333647,0.006541699,0.0073750466,0.007508382,0.007175058,0.0068666935,0.0068417042,7.450581e-09,0.0,0.0067667067
0.0060749054,0.008987352,0.01287479,0.013624772,0.012987286,0.014124766,0.012999773,0.013149783,0.011799812,0.011537313,0.012362301,0.012349784,0.012749791,0.0106998235,0.00981234,0.011062324,0.011262327,0.010762319,0.010299832,0.01026234,0.0,0.0,0.010149837
-0.038879946,-0.05751992,-0.08239989,-0.08719988,-0.0831199,-0.090399876,-0.08319989,-0.084159866,-0.07551989,-0.07383989,-0.07911989,-0.07903989,-0.081599884,-0.068479896,-0.062799916,-0.0707999,-0.0720799,-0.0688799,-0.06591993,-0.065679915,0.0,0.0,-0.064959906
-0.032399915,-0.047933206,-0.06866649,-0.072666466,-0.069266476,-0.07533313,-0.069333136,-0.07013315,-0.06293316,-0.06153316,-0.06593315,-0.065866485,-0.06799982,-0.057066508,-0.0523332,-0.058999836,-0.06006649,-0.05739984,-0.054933183,-0.05473318,0.0,0.0,-0.054133184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.037499994,-0.063499995,-0.106599994,-0.10430001,-0.095599994,-0.0961,-0.08879999,-0.0915,-0.08620001,-0.0776,-0.080299996,-0.0733,-0.07739999,-0.0695,-0.063999996,-0.06319999,-0.06189999,-0.05979999,-0.0532,-0.050699994,-0.08209999,-0.0721,
-0.037499994,-0.063499995,-0.106599994,-0.10430001,-0.095599994,-0.0961,-0.08879999,-0.0915,-0.08620001,-0.0776,-0.080299996,-0.0733,-0.07739999,-0.0695,-0.063999996,-0.06319999,-0.06189999,-0.05979999,-0.0532,-0.050699994,-0.08209981,-0.072099835,
-0.03750001,-0.063499995,-0.106599994,-0.10430001,-0.095599994,-0.0961,-0.08879999,-0.0915,-0.08620001,-0.0776,-0.080299996,-0.0733,-0.07739999,-0.069500014,-0.063999996,-0.063200004,-0.06189999,-0.05979999,-0.0532,-0.050699994,-0.013599992,-0.012199998,
-0.030000001,-0.05079999,-0.08528001,-0.08344002,-0.076480016,-0.07688002,-0.07104001,-0.07320002,-0.06896002,-0.06208001,-0.064240016,-0.05864001,-0.06192001,-0.055600002,-0.051200002,-0.050560005,-0.049520016,-0.047840007,-0.042560004,-0.040560007,-0.010879993,-0.009760007,
-0.026785702,-0.045357145,-0.07614288,-0.074500024,-0.06828572,-0.068642884,-0.06342859,-0.06535716,-0.061571456,-0.05542861,-0.05735717,-0.052357145,-0.05528573,-0.049642876,-0.04571429,-0.04514285,-0.04421431,-0.04271429,-0.03800001,-0.036214292,-0.0097142905,-0.0087142885,
